name,grade,climb_angle,climb_style,description
Carrot Top,3,overhanging,traverse,Start at the same good flake as Sucker Punch.    Traverse right on good incuts until possible to move up the blunt arete.   Make hard moves to top out the arete.
Grindrite,3,overhanging,steep,Standing start at a good right hand hold.   Pull up onto the rock into an immediately strenuous position.   Make a few hard pulls up left then right to gain better holds and the spectacular horn like protrusion.    Finish more easily up and left.
Slave to the Grind,9,overhanging,steep,"Start seated further right on a good sidepull with a left heel hook on a low ledge and, with some amazing & challenging moves between decent holds, link up with the V3.     There is a video on the web of someone starting it halfway in on an undercling calling it V10, but it is not that hard and starts further right."
The Pursuit of Wow,0,slab,face,Start up of the block onto the slab.  Climb good pockets until the deep finger crack is reached.   Follow this until its end then straight up to finish.    One of the best of the grade around.
Classique,0,vertical,face,Climb directly up the middle of the wall on large pockets.
Banana-rang Delight,5,overhanging,dyno,Sit down start on the good rail center cave. Place feet on a diagonal edge and make a committing dyno directly to the undercling bulge directly above and finish direct on decent slopers.     Requires accuracy to properly catch the dyno and power to hold the feet cut. Fun!
The Flying Zebra,4,overhanging,traverse,"A variation of Serengeti. Start on the ""undercling/sidepull fin"" on the left side of the face. This problem skips the crux crimps of Serengeti by traversing right into the pocket at the base of the Africa flake."
Serengeti,5,overhanging,steep,A brilliant line and one of the best moderates in the canyon.    Start on the undercling/sidepull fin on the left side of the overhanging face.  Move up and right on sloped dishes up to a move off a high left-hand crimp to a sloper (crux).  Gain the 'Africa Flake' (jugs/rest) and find nice positive pockets and edges to the top as the angle eases off.
Burning Rubber Necklace,4,overhanging,traverse,"A nice low traverse.    Start low on the funky jugs on the right side of the small cave.  Traverse left on good slopers and jugs staying low, making a couple cruxy moves with a crimp and good footwork, then head up and left to the big shelf."
Karma,6,overhanging,steep,"The obvious line up the overhanging flat prow on the right side of the alcove. Start with both hands in the horizontal crack between the lower boulder and the upper prow. Reach up and left to a shallow pocket. Heel hook and Slap up to the lip and then go left to a jug and then to the top on more good holds. A direct finish is also possible, maybe a bit easier. Going right and then up the corner and then finishing on the direct line is easier, maybe V4/V5."
Hematoma,6,vertical,face,"Climb the face via small, but good edges.    The landing is flat, but I'd recommend spotters and a few pads."
Slight Inducement,1,overhanging,steep,Sit start at the good hold.   Climb up the steep arete on excellent holds.
Son of Claudius Rufus,5,overhanging,traverse,Traverse slopey lip from right to left. Mantle top-out or turn the corner to top-out.
Super Froz,9,overhanging,traverse,Start down and right as for Son of Claudius Rufus and traverse the lip from right to left using lots of heel hooks. When you get to the corner down climb Safesufer and drop into the start of Froz. Finish Froz pumped and make a desperate throw for the left arete. Very satisfying. A superb traverse!
Sexual Camel,2,vertical,dyno,Climb the right hand side of the face that is to the left of Cleopatra on somewhat awkward moves at first. Work up the face and make a reach/jump to a good jug covered in lichen. Rock over and out. Pretty damn fun and not as easy as it looks.
the_sphinx,2,vertical,face,Climb the globe-shaped face left of Cleopatra
Tunnel Vision,2,slab,technical,Tunnel Vision ascends a solid slab on very small and shallow two finger pockets. Cool holds and a good challenge. Worth seeking out.
Tin Man,4,vertical,technical,"The first move after pulling off the ground might take some heart. Move up to a series of extremely small but positive crimps, including one that might be the most perfect crimp at the Happy Boulders.    I would appreciate feedback on the grade. Thanks!  vimeo.com/82058457"
Cleopatra,5,vertical,face,"This striking prow is found on the West Rim directly across the canyon from the Top Gun area. Look for a triangular wall with an orb on top. Cleopatra is just right of this. Start with good pockets and go directly up the rounded corner using left hand side pulls, and more pockets and then left to the top. Classic moves and very clean. A sit start looks possible."
Squeeze Job,6,vertical,technical,"A blunt arete that starts with a high left hand and a small crimp for the right. DO NOT PULL ON THE UNDERCLING! Hug the arete and heel hook, maybe. Cool bump moves, a long reach to a mono, a sketchy top-out. Go finish it.     It is unclimbed and the grade is not confirmed. I would love someone to go get it done. Please feel free to change the name and let me know the grade."
Bigs Cafe,6,vertical,technical,"A tall wall that starts with some really hard, awkward moves above a roof and follows  some side pulls and small holds to the top. It has been rappelled and cleaned (mostly) last year, I also built a platform for pads. It is unclimbed and the grade is not confirmed. I would love someone to go get it done. Please feel free to change the name and let me know the grade. This could be pretty hard."
Hard Crack,2,vertical,crack,"A fine crack climb, thin hands. Listed as the only route here in the book at V4."
Fingercrack,0,vertical,crack,Fingerlock or layback the thinner crack in the corner of this area.
Mothership Connection,4,overhanging,crack,From the block move into a horizontal crack with your right and get a good jam so that you can reach way out over the lip onto the face and some good holds. Some toe cams in the crack ease the transition to the overhanging face. Fun big moves on good holds take you up the face to the top. The worst part about the problem is that at times you feel like you could barndoor right into the boulder next to you.
Cream Horn,4,overhanging,crack,"Climb the off-width crack squeezing past the Chef boulder at one point.  The landing becomes better up higher.    The grade is a guess -- Kevin suggested 5.11/5.12, which for an off-width is going to be nastier than the V0 suggested in the Bishop guide.    This is one of the prouder crack problems in Bishop."
Mr. Mackey,7,overhanging,mantle,"Start on the obvious underclings under the lip with the crack behind you.  Pull on (not that easy), and slap for the lip.  Traverse the lip left, slightly until you can mantle over.  Some people top out right, but this is not the original topout (variation)      On the normal topout there is a high micro-crimp for the right hand that allows you to flip the left into a mantle.    This is a great problem worth seeking out."
The Ninth Wave,9,overhanging,traverse,"Start low on the lip on a flat ""shelf."" Traverse the lip leftwards to meet up with and finish as for Mr. Mackey. Pumpy!  If you top out early, before you move past the wide crack at your back, you are cheating the full reward of difficulty.  In other words, the grade isn't soft, you are ;)    This climb was first listed in the Dr. Topo guide as ""The Ninth Wave"" and was established by Chris Nuttycombe.  Later, others called it different names.  This is an often overlooked problem and the rock quality is immaculate. Deserves more traffic.    The ultimate project is the link up of this problem into Mecha-Streisand. That would be a mecha-classic enduro problem."
Aquatic Hitchiker,10,overhanging,steep,Start with a left hand crimp on the roof and right hand on a pinch on the other side of the wall. Pull on and place your left heel above your left hand. Make a few moves and finish on the jug of Beefy Gecko. The back wall is not used.
Beefcake,10,overhanging,steep,"Start underclinging the roof with feet on the back wall and follow the left-most rail system out the roof, breaking hard left to exit.  Head for the light!  It is considered bad form to use the ""3rd rock"" when exiting.  Don't dab -- you can do it if you put your mind to it..."
Chizam SDS,10,overhanging,steep,Sit start with a very low right sidepull and a low left crimp.  get a tricky left heel near the hand. and crank left up to the side pull then upwards.  Powerful and often thought to be hard for the grade.
Beefy Gecko,11,overhanging,traverse,"A Hybrid link-up.  Start as for Beefcake, but when you get to the ""jug,""  head rightwards to end as for Windchill (drop-off).  The big hold as you traverse right that allows for a wrist-cam/handjam is off.  It's an eliminate I suppose, but you'd be using the other boulder to use that hold anyway.  Use the obvious crimp instead.  Pumpy."
Rorschach Test,11,overhanging,technical,A crimping piece de resistance.  Start low on some crimps and continue crimping up and right to a long move out to the arete. Get your crimp on!
The Aquarium,12,overhanging,steep,"Do you like overhanging compression problems? Then this guy might be for you.    Start as for Aquatic Hitchhiker and make some hard moves past the pocket to the jug finish of the problem.    Instead of dropping off, take some deep breaths and climb leftwards on decent rails, and make your way across the cave and top-out around the corner as for Beefcake.    This full value line will most likely pump you out and punt you off going to a jug near the finish.     Remember to breath, and shaking out on the jug finish of Aquatic Hitchhiker could prove useful.    There is a direct finish for Aquatic Hitchhiker as well, but it has a terrifying finish."
Beautiful Gecko,12,overhanging,steep,Start on the undercling feature just right of the start of Beefcake with feet on the back wall.  Follow the middle rail leftwards to join Beefcake at the jug.  Finish as for Beefcake.      This problem has changed quite a bit since the first ascent with several major breakages thus upping the grade.  Powerful climbing.
Strength in Numbers (Original SIN),5,overhanging,dyno,"One of the best moderates anywhere and one of the best lines in the Tablelands - featuring fun dynamic moves with a steep, explosive start and an exciting finish.  This boulder problem embodies quality movement, and is an undisputed area classic that should be at the top of your to-do list.     Sit-start on the large obvious twin-hueco underclings.  Make a big move straight up to the gaping hueco, then style your way up and left to the good right-facing edges that lead to the rest on the good jug/sidepull.  A couple large moves up and left between crimps on the lip will get it done."
Thug is life,7,overhanging,steep,"Same start as for S.I.N. trends right after the first hueco and takes the prow line for sustained thuggy movement to a hard sequence befor the finish jug, easy topout. I dont know if this has been done before so please correct on FA or Grade."
China Doll,0,vertical,face,"Climb the pretty and inviting rib feature on the boulder left of Molly, on huge holds. Careful of some flaky rock at the top."
Molly Dyno,4,overhanging,dyno,"Use the two obvious good pockets around head height to make one huge move to the finishing jug of Molly. The grade is a filler, difficulty will be highly height- and dyno-ability-dependent."
Molly,5,overhanging,dyno,"Sit-start on low pockets, make a couple easy moves in more pockets then stretch up high to the left-hand sidepull.  Pull up to the crimp in the horizontal seam or throw for the lip (crux).    Height-dependent"
Garden Pest,0,slab,face,Climb the slabby wall via good incuts and crimps.
Fire Pit,2,vertical,face,Climb up the arete with a big move to a good hold at mid height.   Continue with a tricky pull to great finishing holds.
The Snapper,5,overhanging,face,Start low and reach up to a good pocket.   From the pocket reach up left to a flake which is followed to a move right and a good undercut flake.    From the flake make the crux move to a good small spike like hold and from here climb directly on up the wall on good hidden holds.
Prozac Nation,2,overhanging,steep,Start below the large horizontal flake.   Climb up the pocketed wall and reach left to gain the flake.    From the flake make a  big move to the pistol grip hold then another over the overhang.    Finish on big holds straight up.
Guantanamera,3,overhanging,technical,"Sds and climb the left arête using the cool blocky pinches and holds.  Very nice rock and one of the best of its grade at the Sads.  Obscure and often overlooked, it is worth seeking out."
Humpty Dumpty,3,overhanging,steep,"Start on a big jug under the roof and climb the short roof to a lip encounter on good patina.  A few of the upper holds are suspect, but hey, it's the tablelands.      Deserves more attention than it gets."
Lawnmower Man,7,overhanging,face,"The crux of this varies depending on height and flexibility. Move up on OK holds to a sprague pocket sidepull with the right and make a huge reach out left to the blunt arete at the lip of the bulge and a good sidepull jug. Make another long pull straight up to a 4 finger slot, if you are very tall you can keep your feet below you, otherwise a high foot out right works. Now hand foot match on the left and pull through to the top."
Los Locos,7,overhanging,traverse,"Work straight up from a blocky starting hold on ""slopey"" jugs to a right sidepull up high. Now the fun begins, traverse left using a hard to find sidepull, not the obvious one, and a series of bad edges with terrible feet, all while staring at the boulder that you could hit if you blew it in a bad way. Finish the hard section with a scary pop to a sloping but well textured hueco. From here continue easily to the top of the boulder."
Satellite Boulder Left,3,vertical,face,"Start on jugs, finish on excitement. Try not to peel into the tree."
Rio's Crack,6,vertical,face,The whole seam portion is the crux. Start with both hands at the bottom on the seam and feet pasted under the bulge and start working the seam and trying to find feet to keep you from sliding back down it. Once you can really establish your feet on the face above the bulge your in. The seam ends at a horizontal and easier moves lead to the top.
Anti-Hero,5,overhanging,steep,"Classic moves: start with your ass way down in the dirt, left hand absurdly low on the arete and right on a good sidepull or undercling. Power out the steep overhang with positive flakes, underclings, kneebars, toehooks, and brute force to slopey-ish holds at the lip, then find the good flake out left to top out easily. This would for sure get four stars except for the extreme dab potential on the rock a few inches below your rear. And it'll probably feel easy at the grade if you do a lot of pullups."
Off the couch & Up the nose,2,overhanging,steep,"go around the left side of the ""nose""   good juggy warm-up, with a decent landing if you have a spotter.    Start at the sit for Overhanging nose, work towards left hueco and make a reach left to an incut finger-jug, bump again about a foot over the roof for a good (but a little sharp) hold with the left hand, bring the right hand to the first hold (that your left hand was just on), next put your feet on the giant block under you and make a long reach to okay holds on top, get your feet up and try to get to the great right hand jug, top out."
Pow Pow,8,overhanging,steep,"Start either sitting or standing and reach out the overhang to do the standard cross-over/under sequence, et al.  Harder if you're shorter.  Requires core.  Really fun.  Git 'er done!"
The Black Stuff,1,vertical,face,"This is a tall and exciting problem on bomb-proof rock. Tricky finding what holds to use, but they're all there. If you fall, make sure it's on the flat-block and not into the pit off right (that would be ugly)."
French Press,6,slab,face,"A very unique problem with impeccable rock.  Mount the scoop and slab it out to the top.  Climbs more like a sandstone problem, on slicker rock, of course.  Classic."
The Groove,0,slab,technical,Climb the groove directly via a series of excellent technical moves.
East Arete,5,vertical,face,"SDS on pockets and using the arete (or not) make the span to a better hold above.  The top is a bit loose, so exercise care.  Very stout, but one of the better moderates at the Sads.  Doesn't get as much traffic as it should."
President Bush,0,slab,face,"Stand start left on the obvious sloper crimps (slimps), move up and right across the good sloper rail using solid finger divots. Optional heel hook out left for the top out. Surprisingly great movement with good landing. Bush not in.  Some say this goes at V1... I doubt it."
The Fang,4,overhanging,steep,Start at the large hole on the left of the cave.  Move up and out towards the lip of the cave.   Using core strength stay on and reach down and right to the fang.    Grab the fang and squirm up it to reach better holds and the top.
Feeding Frenzy,7,overhanging,steep,"Sit start at the large hole on the left.   Climb steeply out the line of holds to make a powerful pull, making use of a so so heel hook on the sharp rail.      Continue pulling hard moving up left to finally finish straight up."
Mr Frosty,8,overhanging,steep,"Start sitting on pockets and make powerful pulls to the left, exiting into the scoop."
Professional Widow,4,overhanging,steep,Climb up to the scoop/hueco and then commit to the exciting crux finish.  Seldom done -- deserves more traffic.  This is one of the best V4s at the Sads.  Sack up and do it!
Slunk,9,overhanging,technical,"The original sds clocked in at about V7 before an undercling snapped off leaving a much harder version.      The full rig is very atypical of tablelands climbing in that it requires subtle hip positioning and clinging reminiscent of font or grit while using much slicker holds.  The rock quality is superb, but the problem is often in the sun and cool, cloudy conditions are optimum.      Definitely worth seeking out."
"Whiskey, Beer and Spliff Hits for Breakfast",4,overhanging,steep,"Start with hands low on good holds.   Pull on get the feet set and crank out the steep face, finishing with a long reach up to the lip of the boulder.    Fun fun fun!"
Give Me A Rim Job,6,overhanging,dyno,Climb the right side of the overhanging prow.  The crux is the dyno to the top.  Sweet problem!
Heelin' It,2,overhanging,technical,"Follow the arete to the top and don't forget to heel it!  The crux is getting positioned into the last heel hook to step up on the last, big (obvious) nub to top out psycho billy. Great arete problem for those psyched to heel ;)."
The Extrapolator,6,overhanging,dyno,A powerful dyno full of tension is followed by hard moves on slopers which then leads to a hard powerful mantel on good rock.    Stand start just left of the corner created by the two rocks. Grab the sandstone like starting rail and pull on with a giant slopey foot hold. Get pitted and fire up to the lip of the boulder. Core up and get a hand foot match before climbing leftwards before the mantel.
Bruiser Boulder,6,vertical,face,"Start at a decent two or three finger pocket high up for right hand, pull to a horizontal and then pockets up right."
Sock Dudes,4,vertical,face,Stand start in the same spot as Knuckle F***er but head up and right to a crescent shaped hold and then up the seam.
The Crown,1,vertical,face,"This beautiful block is the first boulder you see as you approach Hurd Lake. This tall arete is a majestic and beautiful climb. Start low on the good rail and move up to a right hand Gaston(crux) from there use the good crimps to top it out. Not for the faint of heart, and not a climb you want to fall on"
X-Men,4,vertical,technical,"starts on large pinch 6ft up, move up and left on diagonal cracks to thin edges and a grainy arete"
ATF traverse,6,overhanging,traverse,Super fun traverse. Start as far left as possible and traverse as far right as possible before mantling out.
Time Crunch,3,vertical,technical,"This might be one of the most enjoyable climbs I've found so far at Hurd Lake! As far as having cool moves, and a spicy finish.. Sit start with left hand on the arete right hand on the low side-pull. Make your way out to the bigger ledge and throw up a heel. Hit the higher awesome crimp with your left hand get sideways and bump your right and up all the way to the lip!! if your short this might feel much harder than V3 but I'm sure if you use crafty beta you can get the send."
Pepper Jelly,3,overhanging,mantle,One of the best lines at Hurd Lake. Flowing climbing on slightly overhanging rock with good holds and a crux at the very top. Sit start with two hands in the amazing crack seam and work your way up to the crimps underneath the roof. Go for the jugs at the lip and traverse left over a smaller boulder. Take a spoonful of that pepper jelly and bust a heel/toe mantle to the positive holds high above. A must do climb!
Heavenly War Path,3,overhanging,steep,"Take (Heavenly Path) at the Happy Boulders and introduce it to its alpine evil twin (Heavenly War Path). Start off in the crack the same as (Pepper Jelly) make the first couple powerful moves to the jug on the lip of the boulder. Just Like (Heavenly Path) reach up to a right hand crimp on the slab and crank down. Reach for the top and watch your feet, pull over the lip and do a zesty ""I just did that"" dance..."
Ice Troll,4,overhanging,dyno,Sit start with left hand on the arete and right hand on the crimp side-pull. Make your way out to the big ledge and go direct for the sloper at the top(dyno). If you can stick it gather your strength to go for the other sloper and give it all you got to the super positive finish. Epic fun line
Prince Albert,5,slab,traverse,Start on the rail on the arete and work your way right(traverse) across the face. Crux is at the end as you make a big right hand move to a decent rail and top out. A very fun fun line. Get on it early or when the sun is going down.Your gonna want at least 3 pads to protect the fall.
Lean On Me (Sit),5,slab,technical,Sit start variation to (Lean On Me) Use the two granite edges and some fancy footwork to pull yourself up towards the good rail. Get your balance game on rocking over to the slab and reaching for the top! Although this climb is short it has awesome movement and the granite is stunner.
Boz Boz Slab,5,slab,technical,A Boz eh-spe-chi-al. Stand start with right hand on decent crimp on the slab face. Use magical powers to get onto slab reaching for a tiny edge on the face. This is a do what you gotta do kind of climb to get in position. Finish direct to the slopey top-out!
Just Keep Swimming,6,vertical,face,"Start on the right side of the Arete and work your way up. The hands start off with decent holds and soon turns into a combination of good technique and brute strength. A true arete battle, worthy of many burns."
Illmatic,6,overhanging,steep,"A contender for best line at Hurd Lake! Stand start in the cave with a left hand on the really good jug and the right hand on the undercling crimp rail. Find small feet on the roof to lift off the ground and match on the good left hand. From there work your way out of the cave by using smart foot work and core strength. Crux is throwing for a sloper/rail out of the cave from tiny crimps, a really fun move. The top-out is also a beast, all around sick line. Give it a go! A rare granite roof climb, seldom seen in the bishop area."
Hibbity Dibbity,7,slab,technical,"A classic line on a beautiful boulder! Stand start with left hand on the large under-cling rail and right hand on the arete. Use fancy foot beta and find your own way up, once you make some progress get ready for crux 1. Find a good stance and make a move towards a grey solo nob on the face. If you stick the nob get prepared for crux 2 by reaching up high to a decent semi crimp rail and rock on to the slab. Finish on a beautiful highball slab top out, reaching for a large crack past the slopey lip. A must do climb!!"
The Deciever,7,vertical,technical,"This line lives up to its name, once you start pulling you realize your in for some serious burn. Start with left hand on the chest high diagonal crimp rail and right hand low on the good side pull. Use fancy footwork to get through the bottom and towards a higher right hand sidepull/undercling. Once established get ready for a huge lock off reach (which if your short this will feel like V8 or possibly harder)"
Roadside Fire,2,vertical,face,Stand start in the middle of the wall on a small left hand crimp at head hight and a right hand on an orange and white sidepull seam. Climb straight up to top out at the highest point.
Roadside Fire Sit,6,vertical,face,"Sit start directly below the stand, matched on the low undercling. Make your way into the stand and finish it."
Illicit Sweetie,0,slab,face,Climb the left side of the alligator skin face via incut edges and buckets. Once past the start and your feet are established it's just sweet patina plates all the way to the top. Easy descent via incut patina jugs to the right or off the slabby north side of the boulder.
The Sideling,3,slab,traverse,"Start at a good rail 6 or so feet right of the Halfling arete. Traverse left across the blank face using balancy footwork. Keep full-body tension to transition into the arete without barn-dooring, and finish up the Halfling."
Nicole Overhang,6,overhanging,steep,"Stand start with right hand sidepull in the diagonal crack rail, left on crimp out left. Move up and left encountering big moves. Mantle"
Strawberry Contraceptives,7,overhanging,steep,"SDS on the north arete, on good holds. Make steep moves on the overhang, finishing on the arete."
Saxwing on the DL,5,overhanging,face,"Start on a right facing jug rail, gain a high dish hold above and pull a textbook tree topout."
Planet X,6,overhanging,dyno,"One of the all time great dyno problems. Considered by many to be the best boulder problem in JTree. Start off a large cheatstone (although not necessary), climb jugs up to a blank, vertical headwall with thin crimps, to an all out dyno for a huge jug 20 ft. off the deck. Finishes with a few mildly exciting sloper moves."
Jerry's Kids,4,vertical,face,"Start at a thin rail on an eye level bulge, to the right of the center of the Northwest face. Follow thin holds, right, then up better holds to the top."
Up 20,2,vertical,crack,"A fun highball with a scary crux near the top.    Start easily up the thin crack, and gain a good ledge below the widening crack.       Layback the crack for a scary sequence until possible to move into the wide top part of the crack."
All Washed Up,6,overhanging,steep,"The left side of the face, climb obvious small crimps up overhanging rock of excellent quality. At the higher horizontal somewhat larger crimps provide a bit of relief as you figure out how to negotiate the completely blank, rounded topout and get to that jug that's too far away :) Totally awesome problems and reasonably straightforward for the grade compared to some of Joshua Tree's classic ""blank"" nightmares!"
Ample Mantle,1,overhanging,mantle,Jump start to a jug and a great mantle.
Pumping Monzonite,7,overhanging,steep,"This tough J-Tree classic, is found along the interpretive trail roughly opposite the sharp boulder problem South Arete (V0- R). It is found on the backside facing east."
High Heeled Sneakers,5,slab,crack,"This problem is encountered after about  125 yards, when approaching from the parking lot. This is a slick thin crack with a cruxy face at the top. Don't fall! Not much chalk on this one."
Saturday Night Live,4,overhanging,dyno,"This is an entertaining boulder problem 20 yards from the Real Hidden Valley Parking lot.  Park and walk west, as per Loose Lady.  After 5-6 seconds of hiking, look over your right shoulder.  You'll see a big scoop with a chalky handhold on the left.  Grab the hold, smear your feet and dyno to the lip.  Then make an easy mantel to finish the job.    A rating on this one is pretty meaningless..."
Betty Jo Yablonksi,0,vertical,face,"One of 10 or so classic high balls in the Park, as well as one of the easiest, this is the first climbable feature you'll see on your left as you enter the real Hidden valley corridor. Refrain from setting a TR and just go for it as the crux is encountered midway while leaving the top is a feeling to be savored and not feared.     Don't expect to send in a quiet setting as foot traffic is heavy here. That's ok though, more people to hoot as you top out!"
Ceasar's Palace,6,vertical,dyno,"A classic run and jump problem.  The V6 rating is not mine, but has been tossed about.  As far as jump problems go, this one is pretty hard and is probably J2+.  It is harder than the run and jump on Streetcar Named Desire, and miles harder than the Jump Chump.    Start well back from the South, and then sprint headlong at the boulder, trying to launch up and right to the obvious patina rail that is high above.  Finish up and right on easy ground.    Here is a video link to ""The Driver"" trying this problem in the '80's.  fishproducts.com/movies/dri…"
Evan's Problem,4,overhanging,technical,"Sick of sketchy highballs? Tired of polished rock? If you said yes to any of those questions, than this is the climb for you! Start matched on a slopey cresent and slap through shallow dishes before toping out at the apex. Lowball. The adjacent boulder is off."
Kirkatron,5,vertical,traverse,"located on the N/NW face of sports challenge rock, this 30 ft traverse begins on the right side in a wide vertical crack.  move right to left on a variation of hold types and finish at the big flake (Lobster Lieback)"
Turtle Face Center,2,slab,technical,"Climb greasy smears and edges up the center of the West Face, ending just right of the summit point."
Shipwreck,3,overhanging,steep,This is a great arete climb located on the west side of the Shipwreck Boulder. Just look for the obvious arete across the way from So High (V5 R).
Fist Full of Walnuts,3,vertical,crack,"Start way back in the alcove and handrail, jam and stem your way up and into the light and better jams near the lip. Finish by turning the corner and making an easy mantle to finish. Descend by downclimbing Down with the Ship, the problem just left of where the problem tops out."
The Button High,3,vertical,face,"A cool circus move from the left facing jug sets you up on the face.  Move left towards the ""buttons"" with a couple of reachy moves.  Continue up and left to the summit.  Hard move are getting established on the face.  Scary moves are moving left."
So High,5,overhanging,face,Start off a cheatstone and follow the patina flakes up the slightly overhanging crack. Make some committing moves going over the top onto the upper slab.
Powerband West,8,overhanging,traverse,"This is the traverse under So High. Starts on low sidepulls and traverses right. It used to connect with So High, but some holds broke."
So High (sit),11,overhanging,face,SDS.  start below and a few feet left of the So High start.  pull through crimps to join So High.(holds continue to break)
Black Velvet,2,vertical,technical,"Starts from the left via a mantle (harder) or from edges slightly right and then climbs the high-angled slab with thin, delicate and balancy moves off the deck. It's possible to use the arete on the right making this slightly easier but the pure line is straight up the slab. The easiest descent is to downclimb the southwest arete and then step off (or jump) onto the flat boulder adjacent to this boulder."
Jump Chump,2,overhanging,dyno,"This run-and-jump problem, of which Joshua Tree has many, uses the concave face below to lauch for the huge patina plate which beckons high above the desert floor. Plan your take-off carefully and then fly upward to an easy topout. Credit John Long for the vision to see this entertaining diversion."
Act of Contrition,3,slab,technical,This climbs the inside arete to the right of the split on the south side of the boulder.
Dish Mantel,2,overhanging,mantle,"Per the Miramontes guidebook: ""Jump and mantel the obvious dish."" The guidebook has it at V2/3."
Pigpen,4,overhanging,crack,"Behind Cyclops rock is this awesome boulder problem. A sit start in a cave starts you out 10' of finger crack through the roof in the cave, to a tight-hands swing around the lip and then fingers, off fingers and tight hands lead to a funky top out that is for many the crux."
Intuition,4,overhanging,steep,No text - use the 'Improve This Page' link to add something useful!
The Yogi Variation,8,overhanging,steep,Start as for Pigpen. From the bucket rest bust out to the arete and power up pinches and slopers to the lip and throw out left to a good hold. Top out on some slopey goodness.
Off Camber,4,overhanging,mantle,"This problem lies on the north face of the Manx Boulder directly behind a dying tree. Start at the obvious sloping ledge and make a big move to gain the lip, then press out a mantel with tree branches at your back (a little scary) to complete the problem.     UPDATE: Tree gone since 2007 or so."
Unnamed,2,slab,technical,Start at a sloper on a blunt arete and climb the slab with balancey moves and small handholds.  The Miramontes guidebook has it at V2.
Unnamed,3,vertical,face,"Sit start underneath the boulder in the same place as for Sitting Bull. Instead of going left as for Sitting Bull, go right to a high sidepull, then up."
Peabrain,4,vertical,crack,Pull into the undercut finger crack/seam and work your feet up as you lieback your way along this technical and enticing problem. Not a highball but exciting enough near the top with your feet pasted high. Quality.
Mighty Dog,7,vertical,face,"Refer to picture topo under Pea Brain V4.  There is also a sit-start from good obvious holds under Pea Brain, traversing right into Mighty Dog. Not sure of the grade."
Pick your poison,2,slab,technical,"Sit start using two good opposing crimp rails and good edges for feet, span up and right toward two thin but solid crimps. Utilizing a good rail under the crimps (easiest beta, but pick your poison *giggity* ) work your feet up until you can mantle onto the slab to your right. Slab stroll to the top!  Established: Nate Pierce FA: Danny Kommel"
Orange Julius,7,overhanging,face,"Start in overhanging huecoish terrain to gain small crimps at the bottom of the dike. Pull a straightforward but powerful, reachy sequence on tweaky edges with little to no feet. Once your feet are established on the dike, the difficulty eases.     Favors tall climbers. At 5'9"" I was campusing between edges through the crux."
Brief Squeeze,1,vertical,technical,"Start on a bad pinch and sloper, go straight up to prow, and top out."
Caveman,6,overhanging,steep,"Start by climbing an adjacent boulder on the right side of the cave to access the huge starting jugs, traverse left on STEEEP jugs with bad feet to a cruXy low spot in the roof, finishing up fins and jugs. Downclimb and step off to finish at either the highest jug or at the furthest jug to the left.    Traversing high at the start and utilizing the ""hidden"" hold, this problem might be V6, traversing low at the start is probably more like V7, avoiding the ""hidden"" hold is even a bit harder (IMO more esthetic). I think this problem deserves AT LEAST 1 star, prolly 2 because of the uniqueness of the climbing involved.    The sit starts low on the far right of the cave at a pinch and a sloping undercling, about 10 feet below the regular start. Crumbly starting holds have made this start harder over the years. Consensus is that it is a fairly solid V10, holding on for nearly 25 moves being the business."
Stem Gem,4,slab,technical,"Located in a small group of campsites on the Southern end of the Blob formation. Please ask permission for bouldering in occupied campsites.    Stem Gem is the Quintessencial JTree boulder problem, embodying the essence of Joshua Tree climbing: Highly technical and often times perplexing movement across extremely friction dependant, featurless granite. Indeed, this problem has nary a hold on it, the only thing making it climbable is its coarse friction and the undulating nature of the stone.    Getting both feet off the ground on this problem can be an event in itself, bringing ones flexability and stemming prowess to task. Start by stemming up the concave face and then traversing right across a faint/blunt arete. Most continue right and stand on the ""bump"", however it is possible to avoid the bump and friction direct (v3 friction in itself), continue up the water groove and to the top of the boulder. Jump across boulder to get off."
Stem Gem Mantle,5,slab,mantle,A pure mantle on a lone sloper.  This problem continues to get harder all the time due to erosion at the base and feet from Stem Gem ascentionists wearing down the hold.  Pressing this one out in butterfly form just might be the highlight in your mantle career.
Mumbles Mumblephone,4,vertical,technical,"Start on two crimps over the lip of an arete, pull up and right to a tiny crimp work your way up on crimps and slopers till you hit a huge sloping rail then top out. Very balancy and extremely sandbagged. Very fun problem."
Black Pea,2,slab,technical,Climb the slab past the namesake “Black Pea” feature.
Pinhead,0,vertical,crack,This 15' blockish boulder is located approximately 100 yards from the pit toilet at the end of the back loop of Hidden Valley Campground along obvious trail.  Several excellent problems exist.  Pinhead follows the prominent fingertip crack along the west face.  Fingerlocks up crack and mantle to top.  Downclimb east face.
The Funktion,3,slab,face,"A tall, classy old-school boulder problem. Start via either a dynamic move to a crimp or perhaps from cheater stones if present. A few big, fun lockoff moves lead past a rail and on to better holds further and further above a rather dicey landing. The topout isn't too perplexing, but it does involve a little slab at the very top and you're pretty far off the deck."
Scatterbrain,6,overhanging,technical,"Start from a high incut edge and slap, pinch and heel hook your way up the overhung arete to a finishing jug. Classic.  A sit start has more recently been done at around V11."
Mystical Vibrations,5,overhanging,steep,"Sit start under the roof on a killer hueco, chuck to a big shelf, then power over the rounded arete. Down climb the slightly scary slab."
The Palmist,3,slab,technical,Stem up the concave.
